orf	E0	E3	L	P	M	F	pvalue	Diffexpr
CG10000-A	0.13618149904431	0.152372458945245	0.183025426433843	0.171155965036415	0.194637270245011	0.162627380295176	0.000436605908004469	FALSE
CG10001-A	0.126401848656309	0.139981307049564	0.193333068884673	0.197431860728536	0.178715268328905	0.164136646352012	5.22902466273233e-07	TRUE
CG10002-A	0.167124675447602	0.182393210383749	0.161900077577196	0.156918146572923	0.163086193006495	0.168577697012035	0.355585718047288	FALSE
CG10005-A	0.161093506182806	0.166909934711837	0.179158783913404	0.23457186964982	0.128913970610656	0.129351934931476	2.23743165648661e-10	TRUE
CG10006-A	0.142214536798714	0.135772452410791	0.177928561713824	0.198641953778261	0.185906815338972	0.159535679959438	0.000376640206066168	FALSE
CG10007-A	0.172948357256844	0.141030380311313	0.135063126898131	0.232020447385507	0.146760337375463	0.172177350772742	1.20862293563764e-12	TRUE
CG10009-A	0.197349504106804	0.209064916233613	0.162149950639478	0.145742453922326	0.144171590621389	0.141521584476389	0.0751068114084443	FALSE
CG10011-A	0.17802322053067	0.167411785097648	0.163591293087743	0.178964971654178	0.158186260845476	0.153822468784285	0.00383937898032350	FALSE
CG10013-A	0.170909986815721	0.162227944024597	0.144916900636389	0.168637391410037	0.187041892726682	0.166265884386575	0.00230581983643060	FALSE
CG10014-A	0.154052684428782	0.14136847211332	0.148969832576984	0.176432989230771	0.224141782328535	0.155034239321608	2.27198500257138e-05	FALSE
CG10016-A	0.149800472371918	0.237834910046481	0.158160923059188	0.197738889047633	0.117696590675171	0.13876821479961	0.0189113656569611	FALSE
CG10016-B	0.1027375450667	0.155342431984756	0.16419693309947	0.230780753928429	0.194186170604955	0.152756165315691	0.00531619985574581	FALSE
CG10017-A	0.157541687411796	0.163740300847004	0.15827751714675	0.162313178793348	0.179674651448187	0.178452664352916	0.017045481668533	FALSE
CG10018-A	0.206016728293457	0.18139663117277	0.159573422578377	0.165837297364747	0.13336009945658	0.153815821134069	0.148183758840196	FALSE
CG10019-A	0.161856941984083	0.153094593968842	0.180050038571028	0.163713090268963	0.174237109751053	0.16704822545603	0.585341186318498	FALSE
CG10021-A	0.124015069696164	0.135242491525512	0.32322013847148	0.162014324440166	0.125313287306384	0.130194688560294	0.00240953416944954	FALSE
CG10021-D	0.176830991954854	0.155892030076845	0.155927487605505	0.156402916954524	0.177305948265198	0.177640625143075	0.76752046354234	FALSE
CG10026-A	0.151294247638972	0.16088093373576	0.157191745034177	0.169738309490234	0.2094983113544	0.151396452746457	0.0893970800063568	FALSE
CG10029-A	0.147195745151844	0.141289628358287	0.137943014250972	0.163725806864939	0.238117135905103	0.171728669468855	5.18461406782008e-05	FALSE
CG10031-A	0.124409063225775	0.100356824125616	0.215104324199159	0.110051134759975	0.215836421427861	0.234242232261613	1.30885378941919e-09	TRUE
CG10032-A	0.147458694669331	0.164737631495298	0.156672370684693	0.166382883570973	0.199440242311591	0.165308177268114	0.155371104114343	FALSE
CG10033-A	0.239406202362186	0.206026781736619	0.140924118726298	0.131125799167237	0.120778799100501	0.161738298907159	3.79100831336764e-07	TRUE
CG10034-A	0.161674561325383	0.172192340590163	0.196813836506693	0.138198191174202	0.145457153848392	0.185663916555167	0.107262642195299	FALSE
CG10035-A	0.23911590825743	0.245003330095551	0.206221308158426	0.131334100939795	0.0863892026951563	0.091936149853643	0.00082604415057418	FALSE
CG10036-A	0.169952509277337	0.177351938573372	0.163781120952544	0.151315809364812	0.167339029358777	0.170259592473158	6.9084332436831e-06	FALSE
CG10037-A	0.148310751591538	0.174281374620011	0.177290598195588	0.144722548098981	0.192624421682747	0.162770305811134	4.30065865561147e-09	TRUE
CG10039-A	0.13632277815651	0.122412252312815	0.219550179565328	0.167942935335902	0.181944632028197	0.171827222601249	0.00343064592017405	FALSE
CG1004-A	0.163748386387289	0.163343173478522	0.172389533575777	0.166389414183015	0.169785001188279	0.16434449118712	0.584776752303040	FALSE
CG10041-A	0.139062652965783	0.137602785987602	0.144143096790669	0.165686946885204	0.257632959989529	0.155871557381212	1.09090281504919e-05	FALSE
CG10043-A	0.185555945916683	0.231663759040169	0.142722303234113	0.151751455658573	0.141600875288026	0.146705660862436	0.00243561439482536	FALSE
CG10043-B	0.125668004502801	0.167048978037934	0.166635370175957	0.194070892456327	0.182559167422912	0.16401758740407	0.0904216524131877	FALSE
CG10045-A	0.189576305948539	0.0971460014337081	0.251331016830029	0.145012323513315	0.118903282031134	0.198031070243274	4.78081343733044e-07	TRUE
CG10047-A	0.134714071548685	0.149764310062545	0.169343807344826	0.179564645510569	0.186183991350073	0.180429174183303	5.27835876617684e-06	TRUE
CG10050-A	0.173195476526696	0.154387474542276	0.194547399895494	0.148664718529663	0.159799374191291	0.169405556314579	0.0170888939357853	FALSE
CG10051-A	0.149273125397123	0.137474442448594	0.26569325013034	0.162131115523983	0.14926955723486	0.1361585092651	1.10329998408243e-19	TRUE
CG10052-A	0.157251682406177	0.16194919633761	0.146268867650531	0.183040952562946	0.177080857753599	0.174408443289138	0.00159612044769338	FALSE
CG10053-A	0.19834605083089	0.163355639774389	0.151369790875434	0.148960079911767	0.172696308475973	0.165272130131547	0.36734084314178	FALSE
CG10055-A	0.210132885740771	0.168834966774961	0.135375081055281	0.151041917023932	0.164529801015188	0.170085348389866	9.97929634065713e-13	TRUE
CG10059-A	0.249820360885671	0.244991687724655	0.122975352955383	0.125393590153071	0.115828362143493	0.140990646137727	0.0835562725879652	FALSE
CG10060-A	0.255401948755063	0.236840153185174	0.137690410579449	0.142561251977323	0.0880145719262161	0.139491663576774	4.76156724785672e-19	TRUE
CG10061-A	0.192295422894467	0.190514564184431	0.133533803328986	0.163413084934655	0.149146038346315	0.171097086311146	1.45844204643452e-11	TRUE
CG10062-A	0.130050942999066	0.129833592979088	0.182481454215275	0.19402222331852	0.198439998270205	0.165171788217847	2.14695963133356e-14	TRUE
CG10063-A	0.148323994170932	0.134392021536184	0.159269665653171	0.128640423558293	0.21007181158283	0.21930208349859	0.0138697642870938	FALSE
CG10064-A	0.139538003021221	0.139239334177028	0.135344563647625	0.183964776652744	0.246261294323	0.155652028178382	2.35652898546384e-09	TRUE
CG10066-A	0.169859928477584	0.147875393728085	0.164585827366211	0.178403749544992	0.183286872881061	0.155988228002068	0.0276782213777354	FALSE
CG10067-A	0.0986646572797527	0.130325979012893	0.438593571025673	0.088540917071114	0.114089388511165	0.129785487099401	1.00439826957400e-07	TRUE
CG10068-A	0.172913525358481	0.1536402467104	0.171746975187203	0.16494828832992	0.17506281156793	0.161688152846065	0.0186308086696631	FALSE
CG10069-A	0.194222668384379	0.188376983123934	0.158607122249917	0.164863632510314	0.114761509085947	0.179168084645508	0.0132804644286527	FALSE
CG1007-A	0.135919575406943	0.169493315938566	0.171027802287712	0.235387045855484	0.144926997086757	0.143245263424538	0.000117759181820991	FALSE
CG10072-A	0.188056939291421	0.17894590966581	0.16659576831466	0.167574712880658	0.131147684137302	0.167678985710148	0.000395100110321595	FALSE
CG10073-A	0.120661600278267	0.11757234827874	0.366307764692874	0.13786802618688	0.13116587182267	0.126424388740568	1.76214209752407e-53	TRUE
CG10075-A	0.190067503872612	0.166972923292346	0.207440185971533	0.138179095025986	0.140287003333179	0.157053288504344	4.66664824626847e-10	TRUE
CG10076-C	0.160570761841411	0.175860091815283	0.165490116232268	0.163509828617832	0.177322067536406	0.1572471339568	0.024468078908498	FALSE
CG10076-D	0.135305325918834	0.130244287557676	0.152567859710921	0.17640866208177	0.218972117845284	0.186501746885513	0.0068460363686471	FALSE
CG10077-A	0.182557538588559	0.1843984404087	0.137989431268643	0.147547864094301	0.169391345144916	0.17811538049488	1.89790594923163e-06	TRUE
CG10077-B	0.0971527593693433	0.132434385036325	0.127847495975818	0.192566823169871	0.229623340499967	0.220375195948676	1.40184886082568e-08	TRUE
CG10078-A	0.123306457884731	0.150960629007836	0.166060832194465	0.188832464044564	0.197685938412057	0.173153678456345	0.0921481847478538	FALSE
CG10078-B	0.123687180103304	0.171845395452882	0.170815901030414	0.170014558856344	0.154229658257546	0.20940730629951	0.0302200888153581	FALSE
CG10079-A	0.148621107792099	0.172871947936366	0.146620809557446	0.177794637987002	0.177821951627353	0.176269545099735	0.184433982563606	FALSE
CG10079-B	0.121924412069235	0.239983035418044	0.181942841852249	0.147214258286258	0.169129999194703	0.139805453179511	0.00314801228923859	FALSE
CG10080-A	0.204068419010414	0.183025101694299	0.174327601304925	0.145698804970285	0.128982924073867	0.16389714894621	1.31656833898979e-23	TRUE
CG10081-A	0.110211166339616	0.124066079591252	0.342737385029391	0.143130031175178	0.153907145962104	0.12594819190246	4.74513818244616e-44	TRUE
CG10082-A	0.165231211888429	0.189463200879523	0.146284744740185	0.19049748968804	0.155344569448149	0.153178783355673	0.00590107117323218	FALSE
CG10082-B	0.122316058254227	0.173690285704057	0.130217760191624	0.190362213416732	0.179774538271615	0.203639144161744	0.0297619183178828	FALSE
CG10083-A	0.189911250638634	0.189464133454137	0.167681241468185	0.158134512027509	0.116635947097838	0.178172915313697	7.42584128394751e-05	FALSE
CG10084-A	0.187912771548242	0.201634538231607	0.119086124622114	0.144190288868035	0.131246351843325	0.215929924886678	0.0112241120926403	FALSE
CG10084-B	0.213493138682274	0.153539190548255	0.140510717360944	0.161969972407713	0.160964966069273	0.16952201493154	0.00471583467987463	FALSE
CG10086-A	0.131193928076821	0.128291293844172	0.215141288530567	0.171892859971737	0.17912969024967	0.174350939327033	0.0108507940550775	FALSE
CG10089-C	0.184862785470102	0.154953340063594	0.130659901546386	0.145928519555437	0.207757288061347	0.175838165303134	0.037544098789594	FALSE
CG10089-D	0.160646935906186	0.171440704327267	0.169215336828752	0.178466958980898	0.153569940693629	0.166660123263268	0.0020461800150456	FALSE
CG1009-B	0.120610448768378	0.145568107589888	0.169247302727545	0.213198393163004	0.198728567996411	0.152647179754774	0.0425645158734616	FALSE
CG1009-C	0.128581829284139	0.147896449950729	0.14617615162257	0.210136425059	0.196572513925784	0.170636630157778	0.0123159788600476	FALSE
CG1009-D	0.135627478323117	0.111344881673263	0.128012815637059	0.180862585604938	0.251774758842523	0.1923774799191	2.04030391840809e-05	FALSE
CG10090-A	0.0899718292304619	0.105343463050822	0.111892509497312	0.172066098648474	0.412274864653464	0.108451234919466	2.93875355325084e-05	FALSE
CG10091-A	0.106653858015121	0.115339261043885	0.168356302872637	0.131466803760718	0.283029453298372	0.195154321009267	0.00215280996771128	FALSE
CG10092-A	0.163106063670728	0.184653532126382	0.171193544808225	0.16690193606451	0.156664732412148	0.157480190918007	0.00250901428115799	FALSE
CG10093-A	0.160328986423556	0.139823411417019	0.195315772706259	0.161672793278541	0.180329848421625	0.162529187753	0.155941302470040	FALSE
CG10094-A	0.134343555264804	0.157519432125518	0.16208678704862	0.170724014656681	0.211121584286624	0.164204626617752	7.6273293126117e-10	TRUE
CG10095-A	0.163608981472779	0.163152016462241	0.16904223056392	0.165297271639477	0.178934725734316	0.159964774127268	0.748618973112972	FALSE
CG10098-A	0.199730899668371	0.165985962736301	0.152271965136269	0.179358934217842	0.136855783323724	0.165796454917493	2.45753710690147e-07	TRUE
CG10101-A	0.151356503535038	0.171804485861266	0.155710683791687	0.176620089444856	0.178829989052395	0.165678248314759	1.52124020433038e-05	FALSE
CG10102-A	0.157904593140505	0.154003182579598	0.161875689702812	0.179976667181308	0.200540257895015	0.145699609500761	0.000159612544459963	FALSE
CG10103-A	0.189580418432749	0.20613601647937	0.162812078658524	0.149130411738746	0.13790636556872	0.154434709121891	0.179268870106724	FALSE
CG10104-A	0.180728340061672	0.153293530701254	0.159899157350092	0.157501534514245	0.189088178762863	0.159489258609874	0.187668132211345	FALSE
