Ensembl Gene ID	Ensembl Transcript ID	Ensembl Protein ID	FlyBase cgid gene	FlyBase cgid transcript	FlyBase cgid protein
FBgn0031208	FBtr0089256	FBpp0088316	CG11023	CG11023-RA	CG11023-PA
FBgn0002121	FBtr0078166	FBpp0077824	CG2671	CG2671-RB	CG2671-PB
FBgn0002121	FBtr0078171	FBpp0077829	CG2671	CG2671-RA	CG2671-PA
FBgn0002121	FBtr0078170	FBpp0077828	CG2671	CG2671-RC	CG2671-PC
FBgn0002121	FBtr0078167	FBpp0077825	CG2671	CG2671-RD	CG2671-PD
FBgn0002121	FBtr0078168	FBpp0077826	CG2671	CG2671-RE	CG2671-PE
FBgn0002121	FBtr0078169	FBpp0077827	CG2671	CG2671-RF	CG2671-PF
FBgn0031209	FBtr0113008	FBpp0111921	CG2657	CG2657-RB	CG2657-PB
FBgn0051973	FBtr0113416	FBpp0112328	CG31973	CG31973-RE	CG31973-PE
FBgn0051973	FBtr0113415	FBpp0112327	CG31973	CG31973-RD	CG31973-PD
FBgn0051973	FBtr0078163	FBpp0077821	CG31973	CG31973-RA	CG31973-PA
FBgn0051973	FBtr0078164	FBpp0077822	CG31973	CG31973-RB	CG31973-PB
FBgn0067779	FBtr0078100	FBpp0077759	CG11371	CG11371-RB	CG11371-PB
FBgn0031213	FBtr0078101	FBpp0077760	CG11372	CG11372-RA	CG11372-PA
FBgn0031214	FBtr0114507	FBpp0112999	CG11374	CG11374-RB	CG11374-PB
FBgn0002931	FBtr0078162	FBpp0077820	CG11450	CG11450-RA	CG11450-PA
FBgn0031216	FBtr0078103	FBpp0077762	CG11376	CG11376-RA	CG11376-PA
FBgn0031217	FBtr0078104	FBpp0077763	CG11377	CG11377-RA	CG11377-PA
FBgn0026787	FBtr0078161	FBpp0077819	CG12178	CG12178-RA	CG12178-PA
FBgn0005278	FBtr0089429	FBpp0088445	CG2674	CG2674-RA	CG2674-PA
FBgn0005278	FBtr0089431	FBpp0088447	CG2674	CG2674-RC	CG2674-PC
FBgn0005278	FBtr0089430	FBpp0088446	CG2674	CG2674-RD	CG2674-PD
FBgn0005278	FBtr0089436	FBpp0088452	CG2674	CG2674-RG	CG2674-PG
FBgn0005278	FBtr0089435	FBpp0088451	CG2674	CG2674-RJ	CG2674-PJ
FBgn0005278	FBtr0089432	FBpp0088448	CG2674	CG2674-RH	CG2674-PH
FBgn0005278	FBtr0089433	FBpp0088449	CG2674	CG2674-RF	CG2674-PF
FBgn0005278	FBtr0089434	FBpp0088450	CG2674	CG2674-RI	CG2674-PI
FBgn0005278	FBtr0089437	FBpp0088926	CG2674	CG2674-RE	CG2674-PE
FBgn0005278	FBtr0089428	FBpp0088444	CG2674	CG2674-RB	CG2674-PB
FBgn0031219	FBtr0078160	FBpp0077818	CG13694	CG13694-RA	CG13694-PA
FBgn0031220	FBtr0100307	FBpp0099712	CG4822	CG4822-RE	CG4822-PE
FBgn0031220	FBtr0100308	FBpp0099713	CG4822	CG4822-RF	CG4822-PF
FBgn0031220	FBtr0100310	FBpp0099715	CG4822	CG4822-RH	CG4822-PH
FBgn0031220	FBtr0100309	FBpp0099714	CG4822	CG4822-RG	CG4822-PG
FBgn0031220	FBtr0078159	FBpp0077817	CG4822	CG4822-RB	CG4822-PB
FBgn0031220	FBtr0078158	FBpp0077816	CG4822	CG4822-RD	CG4822-PD
FBgn0031220	FBtr0078156	FBpp0077814	CG4822	CG4822-RA	CG4822-PA
FBgn0031220	FBtr0078157	FBpp0077815	CG4822	CG4822-RC	CG4822-PC
FBgn0025683	FBtr0078153	FBpp0077812	CG3164	CG3164-RA	CG3164-PA
FBgn0025683	FBtr0078155	FBpp0089109	CG3164	CG3164-RC	CG3164-PC
FBgn0025683	FBtr0100379	FBpp0099791	CG3164	CG3164-RD	CG3164-PD
FBgn0025683	FBtr0078154	FBpp0077813	CG3164	CG3164-RB	CG3164-PB
FBgn0001142	FBtr0078115	FBpp0077774	CG2718	CG2718-RC	CG2718-PC
FBgn0001142	FBtr0078114	FBpp0077773	CG2718	CG2718-RB	CG2718-PB
FBgn0051976	FBtr0078152	FBpp0077811	CG31976	CG31976-RA	CG31976-PA
FBgn0051975	FBtr0078151	FBpp0077810	CG31975	CG31975-RA	CG31975-PA
FBgn0051974	FBtr0078150	FBpp0077809	CG31974	CG31974-RA	CG31974-PA
FBgn0031224	FBtr0078116	FBpp0077775	CG11454	CG11454-RA	CG11454-PA
FBgn0031225	FBtr0078149	FBpp0077808	CG4648	CG4648-RA	CG4648-PA
FBgn0031226	FBtr0078148	FBpp0077807	CG11620	CG11620-RA	CG11620-PA
FBgn0031227	FBtr0078147	FBpp0077806	CG3709	CG3709-RA	CG3709-PA
FBgn0031228	FBtr0078118	FBpp0077777	CG11455	CG11455-RB	CG11455-PB
FBgn0031228	FBtr0078117	FBpp0077776	CG11455	CG11455-RA	CG11455-PA
FBgn0031229	FBtr0078120	FBpp0077779	CG3436	CG3436-RB	CG3436-PB
FBgn0031229	FBtr0078119	FBpp0077778	CG3436	CG3436-RA	CG3436-PA
FBgn0053635	FBtr0091612	FBpp0090982	CG33635	CG33635-RA	CG33635-PA
FBgn0016977	FBtr0078123	FBpp0077782	CG18497	CG18497-RC	CG18497-PC
FBgn0016977	FBtr0078121	FBpp0077780	CG18497	CG18497-RB	CG18497-PB
FBgn0016977	FBtr0078122	FBpp0077781	CG18497	CG18497-RA	CG18497-PA
FBgn0031231	FBtr0078124	FBpp0077783	CG11488	CG11488-RA	CG11488-PA
FBgn0031232	FBtr0078146	FBpp0077805	CG11617	CG11617-RA	CG11617-PA
FBgn0031233	FBtr0078125	FBpp0077784	CG11490	CG11490-RA	CG11490-PA
FBgn0086902	FBtr0078144	FBpp0077803	CG3696	CG3696-RA	CG3696-PA
FBgn0086902	FBtr0078145	FBpp0077804	CG3696	CG3696-RB	CG3696-PB
FBgn0031235	FBtr0078126	FBpp0077785	CG13693	CG13693-RA	CG13693-PA
FBgn0022246	FBtr0078143	FBpp0077802	CG11606	CG11606-RA	CG11606-PA
FBgn0031238	FBtr0078140	FBpp0077799	CG3645	CG3645-RA	CG3645-PA
FBgn0031238	FBtr0078141	FBpp0077800	CG3645	CG3645-RB	CG3645-PB
FBgn0031239	FBtr0078142	FBpp0077801	CG17075	CG17075-RA	CG17075-PA
FBgn0031240	FBtr0078127	FBpp0077786	CG3345	CG3345-RA	CG3345-PA
FBgn0031242	FBtr0078139	FBpp0077798	CG11604	CG11604-RA	CG11604-PA
FBgn0086856	FBtr0078128	FBpp0077787	CG11555	CG11555-RA	CG11555-PA
FBgn0086855	FBtr0078138	FBpp0077797	CG17078	CG17078-RA	CG17078-PA
FBgn0003444	FBtr0078129	FBpp0077788	CG11561	CG11561-RA	CG11561-PA
FBgn0031244	FBtr0078137	FBpp0077796	CG11601	CG11601-RA	CG11601-PA
FBgn0031245	FBtr0078136	FBpp0077795	CG3625	CG3625-RB	CG3625-PB
FBgn0031245	FBtr0078135	FBpp0077794	CG3625	CG3625-RA	CG3625-PA
FBgn0031245	FBtr0113009	FBpp0111922	CG3625	CG3625-RC	CG3625-PC
FBgn0025686	FBtr0078134	FBpp0077793	CG11592	CG11592-RA	CG11592-PA
FBgn0031247	FBtr0078130	FBpp0077789	CG11562	CG11562-RA	CG11562-PA
FBgn0017457	FBtr0078133	FBpp0077792	CG3582	CG3582-RA	CG3582-PA
FBgn0024352	FBtr0078131	FBpp0077790	CG2720	CG2720-RA	CG2720-PA
FBgn0020622	FBtr0078132	FBpp0077791	CG2699	CG2699-RA	CG2699-PA
FBgn0004611	FBtr0078047	FBpp0077710	CG4574	CG4574-RA	CG4574-PA
FBgn0004611	FBtr0078048	FBpp0077711	CG4574	CG4574-RB	CG4574-PB
FBgn0004611	FBtr0078051	FBpp0089224	CG4574	CG4574-RF	CG4574-PF
FBgn0004611	FBtr0078050	FBpp0089226	CG4574	CG4574-RD	CG4574-PD
FBgn0004611	FBtr0078049	FBpp0089225	CG4574	CG4574-RC	CG4574-PC
FBgn0031248	FBtr0078099	FBpp0077758	CG11912	CG11912-RA	CG11912-PA
FBgn0031249	FBtr0078098	FBpp0077757	CG11911	CG11911-RA	CG11911-PA
FBgn0053127	FBtr0078052	FBpp0077712	CG33127	CG33127-RA	CG33127-PA
